"mean";"species"
"b[as.factor(treatment.adj)6_10/26 Tree:9]3";0.152430640168976;"quercus"
"b[(Intercept) Tree:10]3";-0.170654913060096;"quercus"
"b[as.factor(treatment.adj)2_14/26 Tree:10]3";-0.233352976891579;"quercus"
"b[as.factor(treatment.adj)3_14/26d Tree:10]3";0.0283696202292902;"quercus"
"b[as.factor(treatment.adj)4_26/14 Tree:10]3";-0.512929726367578;"quercus"
"b[as.factor(treatment.adj)5_14/22 Tree:10]3";0.713057585457865;"quercus"
"b[as.factor(treatment.adj)6_10/26 Tree:10]3";0.567418964895777;"quercus"
"sigma3";3.80170280892782;"quercus"
"Sigma[Tree:(Intercept),(Intercept)]3";5.78797818901958;"quercus"
"Sigma[Tree:as.factor(treatment.adj)2_14/26,(Intercept)]3";0.303253109803814;"quercus"
"Sigma[Tree:as.factor(treatment.adj)3_14/26d,(Intercept)]3";-1.14257777238641;"quercus"
"Sigma[Tree:as.factor(treatment.adj)4_26/14,(Intercept)]3";0.354016587868424;"quercus"
"Sigma[Tree:as.factor(treatment.adj)5_14/22,(Intercept)]3";-0.25181488197967;"quercus"
"Sigma[Tree:as.factor(treatment.adj)6_10/26,(Intercept)]3";-1.20778947821067;"quercus"
"Sigma[Tree:as.factor(treatment.adj)2_14/26,as.factor(treatment.adj)2_14/26]3";2.33136574818724;"quercus"
"Sigma[Tree:as.factor(treatment.adj)3_14/26d,as.factor(treatment.adj)2_14/26]3";0.236385589299622;"quercus"
"Sigma[Tree:as.factor(treatment.adj)4_26/14,as.factor(treatment.adj)2_14/26]3";-0.285567672044949;"quercus"
"Sigma[Tree:as.factor(treatment.adj)5_14/22,as.factor(treatment.adj)2_14/26]3";-0.00662346901246186;"quercus"
"Sigma[Tree:as.factor(treatment.adj)6_10/26,as.factor(treatment.adj)2_14/26]3";0.0813628361863924;"quercus"
"Sigma[Tree:as.factor(treatment.adj)3_14/26d,as.factor(treatment.adj)3_14/26d]3";2.32014440328446;"quercus"
"Sigma[Tree:as.factor(treatment.adj)4_26/14,as.factor(treatment.adj)3_14/26d]3";-0.37746686984032;"quercus"
"Sigma[Tree:as.factor(treatment.adj)5_14/22,as.factor(treatment.adj)3_14/26d]3";0.00706062789430414;"quercus"
"Sigma[Tree:as.factor(treatment.adj)6_10/26,as.factor(treatment.adj)3_14/26d]3";0.450681573557302;"quercus"
"Sigma[Tree:as.factor(treatment.adj)4_26/14,as.factor(treatment.adj)4_26/14]3";9.4534926835085;"quercus"
"Sigma[Tree:as.factor(treatment.adj)5_14/22,as.factor(treatment.adj)4_26/14]3";1.0298090164668;"quercus"
"Sigma[Tree:as.factor(treatment.adj)6_10/26,as.factor(treatment.adj)4_26/14]3";-1.31480410949323;"quercus"
"Sigma[Tree:as.factor(treatment.adj)5_14/22,as.factor(treatment.adj)5_14/22]3";6.01544329855912;"quercus"
"Sigma[Tree:as.factor(treatment.adj)6_10/26,as.factor(treatment.adj)5_14/22]3";0.622643054208546;"quercus"
"Sigma[Tree:as.factor(treatment.adj)6_10/26,as.factor(treatment.adj)6_10/26]3";3.33726759721449;"quercus"
